eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,translations,occurrences
pdnc,qID,Q68-1,you,28546,28549,9,113,2,M_364,"Well, you said that you were quite certain I was not a serious anarchist.",Vous vous disiez donc tout a fait persuade que je ne suis pas un anarchiste serieux.,297,aligned,29108,29192,28540,28613,Vous vous disiez donc tout a fait persuade que je ne suis pas un anarchiste serieux. ,"Well, you said
that you were quite certain I was not a serious anarchist. ","['tu', 'vous']","[('vous', 29108, 29112), ('vous', 29113, 29117)]"
pdnc,qID,Q68-1,you,28560,28563,9,113,2,M_365,"Well, you said that you were quite certain I was not a serious anarchist.",Vous vous disiez donc tout a fait persuade que je ne suis pas un anarchiste serieux.,297,aligned,29108,29192,28540,28613,Vous vous disiez donc tout a fait persuade que je ne suis pas un anarchiste serieux. ,"Well, you said
that you were quite certain I was not a serious anarchist. ","['tu', 'vous']","[('vous', 29108, 29112), ('vous', 29113, 29117)]"
booknlp,COREF,112,I,28583,28584,13,113,2,M_366,"Well, you said that you were quite certain I was not a serious anarchist.",Vous vous disiez donc tout a fait persuade que je ne suis pas un anarchiste serieux.,297,aligned,29108,29192,28540,28613,Vous vous disiez donc tout a fait persuade que je ne suis pas un anarchiste serieux. ,"Well, you said
that you were quite certain I was not a serious anarchist. ","['je', ""j'""]","[('je', 29155, 29157)]"
pdnc,qID,Q68-1,you,28637,28640,9,113,2,M_367,Does this place strike you as being serious?,"La piece ou nous sommes vous parait-elle serieuse, oui ou non ?",290,aligned,29193,29256,28614,28658,"La piece ou nous sommes vous parait-elle serieuse, oui ou non ?
","Does this
place strike you as being serious?""","['tu', 'vous']","[('vous', 29217, 29221)]"
exp,exp_name,syme,Syme,28723,28727,9,114,2,M_368,"""It does seem to have a moral under all its gaiety,"" assented Syme; ""but may I ask you two questions?","-- Elle semble, en effet, cacher quelque moralite sous la gaite de ses apparences, reconnut Syme. Mais, puis-je vous poser deux questions ?",291,aligned,29258,29397,28662,28762,"-- Elle semble, en effet, cacher quelque moralite sous la gaite de ses apparences, reconnut Syme. Mais, puis-je vous poser deux questions ? ","It does seem to have a moral under all its gaiety,"" assented Syme;
""but may I ask you two questions? ",['Symer'],"[(None, None, None)]"
booknlp,COREF,93,I,28738,28739,9,114,2,M_369,"""It does seem to have a moral under all its gaiety,"" assented Syme; ""but may I ask you two questions?","-- Elle semble, en effet, cacher quelque moralite sous la gaite de ses apparences, reconnut Syme. Mais, puis-je vous poser deux questions ?",291,aligned,29258,29397,28662,28762,"-- Elle semble, en effet, cacher quelque moralite sous la gaite de ses apparences, reconnut Syme. Mais, puis-je vous poser deux questions ? ","It does seem to have a moral under all its gaiety,"" assented Syme;
""but may I ask you two questions? ","['je', ""j'""]","[('je', 29367, 29369)]"
pdnc,qID,Q69-1,you,28744,28747,13,114,2,M_370,"""It does seem to have a moral under all its gaiety,"" assented Syme; ""but may I ask you two questions?","-- Elle semble, en effet, cacher quelque moralite sous la gaite de ses apparences, reconnut Syme. Mais, puis-je vous poser deux questions ?",291,aligned,29258,29397,28662,28762,"-- Elle semble, en effet, cacher quelque moralite sous la gaite de ses apparences, reconnut Syme. Mais, puis-je vous poser deux questions ? ","It does seem to have a moral under all its gaiety,"" assented Syme;
""but may I ask you two questions? ","['tu', 'vous']","[('vous', 29370, 29374)]"
pdnc,qID,Q69-1,You,28763,28766,13,114,2,M_371,"You need not fear to give me information, because, as you remember, you very wisely extorted from me a promise not to tell the police, a promise I shall certainly keep.","Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai.",288,aligned,29398,29578,28763,28931,"Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai. ","You need not fear to give me
information, because, as you remember, you very wisely extorted from me
a promise not to tell the police, a promise I shall certainly keep. ",['Toi'],"[(None, None, None)]"
booknlp,COREF,93,me,28789,28791,9,114,2,M_372,"You need not fear to give me information, because, as you remember, you very wisely extorted from me a promise not to tell the police, a promise I shall certainly keep.","Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai.",288,aligned,29398,29578,28763,28931,"Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai. ","You need not fear to give me
information, because, as you remember, you very wisely extorted from me
a promise not to tell the police, a promise I shall certainly keep. ","['moi', ""m'""]","[(""m'"", 29463, 29465)]"
pdnc,qID,Q69-1,you,28817,28820,13,114,2,M_373,"You need not fear to give me information, because, as you remember, you very wisely extorted from me a promise not to tell the police, a promise I shall certainly keep.","Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai.",288,aligned,29398,29578,28763,28931,"Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai. ","You need not fear to give me
information, because, as you remember, you very wisely extorted from me
a promise not to tell the police, a promise I shall certainly keep. ","['tu', 'vous']","[('vous', 29458, 29462), ('vous', 29525, 29529)]"
pdnc,qID,Q69-1,you,28831,28834,13,114,2,M_374,"You need not fear to give me information, because, as you remember, you very wisely extorted from me a promise not to tell the police, a promise I shall certainly keep.","Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai.",288,aligned,29398,29578,28763,28931,"Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai. ","You need not fear to give me
information, because, as you remember, you very wisely extorted from me
a promise not to tell the police, a promise I shall certainly keep. ","['tu', 'vous']","[('vous', 29458, 29462), ('vous', 29525, 29529)]"
booknlp,COREF,93,me,28861,28863,9,114,2,M_375,"You need not fear to give me information, because, as you remember, you very wisely extorted from me a promise not to tell the police, a promise I shall certainly keep.","Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai.",288,aligned,29398,29578,28763,28931,"Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai. ","You need not fear to give me
information, because, as you remember, you very wisely extorted from me
a promise not to tell the police, a promise I shall certainly keep. ","['moi', ""m'""]","[(""m'"", 29463, 29465)]"
booknlp,COREF,93,I,28908,28909,9,114,2,M_376,"You need not fear to give me information, because, as you remember, you very wisely extorted from me a promise not to tell the police, a promise I shall certainly keep.","Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai.",288,aligned,29398,29578,28763,28931,"Ne craignez pas de me renseigner, puisque, tres prudemment, vous m'avez extorque la promesse de ne rien rapporter a la police. Vous savez assez que, cette promesse, je la tiendrai. ","You need not fear to give me
information, because, as you remember, you very wisely extorted from me
a promise not to tell the police, a promise I shall certainly keep. ","['je', ""j'""]","[('je', 29563, 29565)]"
booknlp,COREF,93,I,28964,28965,9,114,2,M_377,So it is in mere curiosity that I make my queries.,C'est donc par simple curiosite que je vous questionne.,287,aligned,29579,29634,28932,28982,C'est donc par simple curiosite que je vous questionne. ,"So
it is in mere curiosity that I make my queries. ","['je', ""j'""]","[('je', 29615, 29617)]"
booknlp,COREF,93,my,28971,28973,9,114,2,M_378,So it is in mere curiosity that I make my queries.,C'est donc par simple curiosite que je vous questionne.,287,aligned,29579,29634,28932,28982,C'est donc par simple curiosite que je vous questionne. ,"So
it is in mere curiosity that I make my queries. ","['mon', 'ma', 'mes']","[(None, None, None)]"
pdnc,qID,Q69-1,you,29037,29040,13,114,2,M_379,"First of all, what is it really all about? What is it you object to? You want to abolish Government?","Et, d'abord, que signifie tout cela ? Quel est votre but ? Avez-vous le projet d'abolir le gouvernement ?",286,aligned,29635,29740,28983,29083,"Et, d'abord, que signifie tout cela ? Quel est votre but ? Avez-vous le projet d'abolir le gouvernement ?
","First of all, what is
it really all about? What is it you object to? You want to abolish
Government?""","['tu', 'vous']","[('vous', 29699, 29703)]"
pdnc,qID,Q69-1,You,29052,29055,13,114,2,M_380,"First of all, what is it really all about? What is it you object to? You want to abolish Government?","Et, d'abord, que signifie tout cela ? Quel est votre but ? Avez-vous le projet d'abolir le gouvernement ?",286,aligned,29635,29740,28983,29083,"Et, d'abord, que signifie tout cela ? Quel est votre but ? Avez-vous le projet d'abolir le gouvernement ?
","First of all, what is
it really all about? What is it you object to? You want to abolish
Government?""",['Toi'],"[(None, None, None)]"
exp,exp_name,gregory,Gregory,29109,29116,13,115,2,M_381,"""To abolish God!"" said Gregory, opening the eyes of a fanatic.",-- Nous avons l'intention d'abolir Dieu ! declara Gregory en ouvrant tout grands ses yeux de fanatique.,298,aligned,29742,29845,29087,29148,-- Nous avons l'intention d'abolir Dieu ! declara Gregory en ouvrant tout grands ses yeux de fanatique. ,"To abolish God!"" said Gregory, opening the eyes of a fanatic. ",['Gregoire'],"[(None, None, None)]"
pdnc,qID,Q70-1,We,29150,29152,13,115,2,M_382,"""We do not only want to upset a few despotisms and police regulations; that sort of anarchism does exist, but it is a mere branch of the Nonconformists.","Il ne nous suffirait pas de detruire quelques despotes ou de dechirer quelques reglements de police. ~~~ Cette sorte d'anarchisme existe, il est vrai, mais ce n'est qu'une branche du non-conformisme.'",285,aligned,29846,30041,29150,29301,"Il ne nous suffirait pas de detruire quelques despotes ou de dechirer quelques reglements de police. Cette sorte d'anarchisme existe, il est vrai, mais ce n'est qu'une branche du non-conformisme. ","We do
not only want to upset a few despotisms and police regulations; that
sort of anarchism does exist, but it is a mere branch of the
Nonconformists. ",['Nous'],"[('Nous', 29852, 29856)]"
pdnc,qID,Q70-1,We,29302,29304,13,115,2,M_383,We dig deeper and we blow you higher.,"Nous creusons plus profond, et nous vous ferons sauter plus haut.",299,aligned,30042,30107,29302,29339,"Nous creusons plus profond, et nous vous ferons sauter plus haut. ",We dig deeper and we blow you higher. ,['Nous'],"[('Nous', 30042, 30046), ('Nous', 30073, 30077)]"
pdnc,qID,Q70-1,we,29320,29322,13,115,2,M_384,We dig deeper and we blow you higher.,"Nous creusons plus profond, et nous vous ferons sauter plus haut.",299,aligned,30042,30107,29302,29339,"Nous creusons plus profond, et nous vous ferons sauter plus haut. ",We dig deeper and we blow you higher. ,"['nous', 'on']","[('nous', 30042, 30046), ('nous', 30073, 30077)]"
pdnc,qID,Q70-1,you,29328,29331,9,115,2,M_385,We dig deeper and we blow you higher.,"Nous creusons plus profond, et nous vous ferons sauter plus haut.",299,aligned,30042,30107,29302,29339,"Nous creusons plus profond, et nous vous ferons sauter plus haut. ",We dig deeper and we blow you higher. ,"['tu', 'vous']","[('vous', 30078, 30082)]"
pdnc,qID,Q70-1,We,29340,29342,13,115,2,M_386,"We wish to deny all those arbitrary distinctions of vice and virtue, honour and treachery, upon which mere rebels base themselves.","Nous voulons effacer toutes vos distinctions arbitraires entre vice et vertu, honneur et vilenie, auxquelles de simples revoltes s'appuient et s'attardent.",300,aligned,30108,30263,29340,29470,"Nous voulons effacer toutes vos distinctions arbitraires entre vice et vertu, honneur et vilenie, auxquelles de simples revoltes s'appuient et s'attardent. ","We wish to deny
all those arbitrary distinctions of vice and virtue, honour and
treachery, upon which mere rebels base themselves. ",['Nous'],"[('Nous', 30108, 30112)]"
pdnc,qID,Q70-1,We,29551,29553,13,115,2,M_387,'We hate Rights as we hate Wrongs. We have abolished Right and Wrong.',"'Nous detestons, nous, les droits comme les torts. Nous avons aboli le tort et le droit.'",313,aligned,30359,30446,29551,29619,"Nous detestons, nous, les droits comme les torts. Nous avons aboli le tort et le droit.
","We hate Rights as we hate Wrongs. We have abolished Right and Wrong.""",['Nous'],"[('Nous', 30359, 30363), ('Nous', 30375, 30379), ('Nous', 30409, 30413)]"
pdnc,qID,Q70-1,we,29569,29571,13,115,2,M_388,'We hate Rights as we hate Wrongs. We have abolished Right and Wrong.',"'Nous detestons, nous, les droits comme les torts. Nous avons aboli le tort et le droit.'",313,aligned,30359,30446,29551,29619,"Nous detestons, nous, les droits comme les torts. Nous avons aboli le tort et le droit.
","We hate Rights as we hate Wrongs. We have abolished Right and Wrong.""","['nous', 'on']","[('nous', 30359, 30363), ('nous', 30375, 30379), ('nous', 30409, 30413)]"
pdnc,qID,Q70-1,We,29585,29587,13,115,2,M_389,'We hate Rights as we hate Wrongs. We have abolished Right and Wrong.',"'Nous detestons, nous, les droits comme les torts. Nous avons aboli le tort et le droit.'",313,aligned,30359,30446,29551,29619,"Nous detestons, nous, les droits comme les torts. Nous avons aboli le tort et le droit.
","We hate Rights as we hate Wrongs. We have abolished Right and Wrong.""",['Nous'],"[('Nous', 30359, 30363), ('Nous', 30375, 30379), ('Nous', 30409, 30413)]"
exp,exp_name,syme,Syme,29649,29653,9,116,2,M_390,"'""And Right and Left,"" said Syme with a simple eagerness, ""I hope you will abolish them too. They are much more troublesome to me.""'","'-- Et la droite et la gauche ? dit Syme avec candeur, je pense que vous les abolirez aussi. Quant a moi, la droite et la gauche m'inquietent beaucoup plus que le tort et le droit.'",301,aligned,30448,30627,29623,29751,"-- Et la droite et la gauche ? dit Syme avec candeur, je pense que vous les abolirez aussi. Quant a moi, la droite et la gauche m'inquietent beaucoup plus que le tort et le droit.
","And Right and Left,"" said Syme with a simple eagerness, ""I hope you
will abolish them too. They are much more troublesome to me.""",['Symer'],"[(None, None, None)]"
booknlp,COREF,93,I,29680,29681,9,116,2,M_391,"'""And Right and Left,"" said Syme with a simple eagerness, ""I hope you will abolish them too. They are much more troublesome to me.""'","'-- Et la droite et la gauche ? dit Syme avec candeur, je pense que vous les abolirez aussi. Quant a moi, la droite et la gauche m'inquietent beaucoup plus que le tort et le droit.'",301,aligned,30448,30627,29623,29751,"-- Et la droite et la gauche ? dit Syme avec candeur, je pense que vous les abolirez aussi. Quant a moi, la droite et la gauche m'inquietent beaucoup plus que le tort et le droit.
","And Right and Left,"" said Syme with a simple eagerness, ""I hope you
will abolish them too. They are much more troublesome to me.""","['je', ""j'""]","[('je', 30502, 30504)]"
pdnc,qID,Q71-1,you,29687,29690,13,116,2,M_392,"'""And Right and Left,"" said Syme with a simple eagerness, ""I hope you will abolish them too. They are much more troublesome to me.""'","'-- Et la droite et la gauche ? dit Syme avec candeur, je pense que vous les abolirez aussi. Quant a moi, la droite et la gauche m'inquietent beaucoup plus que le tort et le droit.'",301,aligned,30448,30627,29623,29751,"-- Et la droite et la gauche ? dit Syme avec candeur, je pense que vous les abolirez aussi. Quant a moi, la droite et la gauche m'inquietent beaucoup plus que le tort et le droit.
","And Right and Left,"" said Syme with a simple eagerness, ""I hope you
will abolish them too. They are much more troublesome to me.""","['tu', 'vous']","[('vous', 30515, 30519)]"
booknlp,COREF,93,me,29748,29750,9,116,2,M_393,"'""And Right and Left,"" said Syme with a simple eagerness, ""I hope you will abolish them too. They are much more troublesome to me.""'","'-- Et la droite et la gauche ? dit Syme avec candeur, je pense que vous les abolirez aussi. Quant a moi, la droite et la gauche m'inquietent beaucoup plus que le tort et le droit.'",301,aligned,30448,30627,29623,29751,"-- Et la droite et la gauche ? dit Syme avec candeur, je pense que vous les abolirez aussi. Quant a moi, la droite et la gauche m'inquietent beaucoup plus que le tort et le droit.
","And Right and Left,"" said Syme with a simple eagerness, ""I hope you
will abolish them too. They are much more troublesome to me.""","['moi', ""m'""]","[('moi', 30548, 30551), (""m'"", 30576, 30578)]"
pdnc,qID,Q72-0,You,29755,29758,9,117,2,M_394,"'""You spoke of a second question,"" snapped Gregory.'","'Vous annonciez une seconde question, fit Gregory sechement.'",312,aligned,30632,30691,29755,29804,"Vous annonciez une seconde question, fit Gregory sechement.
","You spoke of a second question,"" snapped Gregory.
",['Toi'],"[(None, None, None)]"
exp,exp_name,gregory,Gregory,29796,29803,13,117,2,M_395,"'""You spoke of a second question,"" snapped Gregory.'","'Vous annonciez une seconde question, fit Gregory sechement.'",312,aligned,30632,30691,29755,29804,"Vous annonciez une seconde question, fit Gregory sechement.
","You spoke of a second question,"" snapped Gregory.
",['Gregoire'],"[(None, None, None)]"
exp,exp_name,syme,Syme,29831,29835,9,118,2,M_396,"'""With pleasure,"" resumed Syme.'",'-- Avec plaisir.',311,aligned,30693,30709,29807,29836,-- Avec plaisir. ,"With pleasure,"" resumed Syme. ",['Symer'],"[(None, None, None)]"
booknlp,COREF,93,I,29922,29923,9,118,2,M_397,"'""In all your present acts and surroundings there is a scientific attempt at secrecy. I have an aunt who lived over a shop, but this is the first time I have found people living from preference under a public-house.""'","'Dans tout ce que vous faites, dans tout ce qui nous entoure, je vois une savante recherche du mystere. J'avais une tante qui habitait au-dessus d'un magasin, mais c'est la premiere fois que je vois des gens vivre sous un bar.'",315,aligned,30710,30935,29838,30051,"Dans tout ce que vous faites, dans tout ce qui nous entoure, je vois une savante recherche du mystere. J'avais une tante qui habitait au-dessus d'un magasin, mais c'est la premiere fois que je vois des gens vivre sous un bar. ","In all your present acts and
surroundings there is a scientific attempt at secrecy. I have an aunt
who lived over a shop, but this is the first time I have found people
living from preference under a public-house. ","['je', ""j'""]","[('je', 30771, 30773), ('je', 30900, 30902), (""j'"", 30813, 30815)]"
booknlp,COREF,93,I,29987,29988,9,118,2,M_398,"'""In all your present acts and surroundings there is a scientific attempt at secrecy. I have an aunt who lived over a shop, but this is the first time I have found people living from preference under a public-house.""'","'Dans tout ce que vous faites, dans tout ce qui nous entoure, je vois une savante recherche du mystere. J'avais une tante qui habitait au-dessus d'un magasin, mais c'est la premiere fois que je vois des gens vivre sous un bar.'",315,aligned,30710,30935,29838,30051,"Dans tout ce que vous faites, dans tout ce qui nous entoure, je vois une savante recherche du mystere. J'avais une tante qui habitait au-dessus d'un magasin, mais c'est la premiere fois que je vois des gens vivre sous un bar. ","In all your present acts and
surroundings there is a scientific attempt at secrecy. I have an aunt
who lived over a shop, but this is the first time I have found people
living from preference under a public-house. ","['je', ""j'""]","[('je', 30771, 30773), ('je', 30900, 30902), (""j'"", 30813, 30815)]"
booknlp,COREF,93,I,30244,30245,9,118,2,M_399,"'You surround yourself with steel instruments which make the place, if I may say so, more impressive than homelike.'","'Vous vous entourez d'instruments d'acier qui donnent a ce lieu un aspect, si je puis m'exprimer ainsi, plutot guerrier que bourgeois.'",310,aligned,31075,31208,30174,30288,"Vous vous entourez d'instruments d'acier qui donnent a ce lieu un aspect, si je puis m'exprimer ainsi, plutot guerrier que bourgeois. ","You surround yourself with steel
instruments which make the place, if I may say so, more impressive than
homelike. ","['je', ""j'""]","[('je', 31152, 31154)]"
booknlp,COREF,93,I,30293,30294,9,118,2,M_400,"'May I ask why, after taking all this trouble to barricade yourselves in the bowels of the earth, you then parade your whole secret by talking about anarchism to every silly woman in Saffron Park?'","'Comment donc, d'une part, vous cachez-vous dans les entrailles de la terre, et, d'autre part, etalez-vous au grand jour votre secret en professant l'anarchie devant toutes les peronnelles de Saffron Park ?'",308,aligned,31209,31414,30289,30484,"Comment donc, d'une part, vous cachez-vous dans les entrailles de la terre, et, d'autre part, etalez-vous au grand jour votre secret en professant l'anarchie devant toutes les peronnelles de Saffron Park ?
","May I ask why, after taking all this trouble to barricade
yourselves in the bowels of the earth, you then parade your whole
secret by talking about anarchism to every silly woman in Saffron
Park?""","['je', ""j'""]","[(None, None, None)]"
exp,exp_name,gregory,Gregory,30487,30494,13,119,2,M_401,"'Gregory smiled. ""The answer is simple,"" he said.'","'Ma reponse sera bien simple, dit Gregory en souriant.'",307,aligned,31419,31472,30487,30536,"Ma reponse sera bien simple, dit Gregory en souriant. ","Gregory smiled.

""The answer is simple,"" he said. ",['Gregoire'],"[(None, None, None)]"
exp,exp_name,syme,Syme,30702,30706,9,121,2,M_402,"'Syme smoked thoughtfully, and looked at him with interest.'","'Syme fumait, songeur, regardant Gregory avec interet.'",305,aligned,31682,31735,30702,30760,"Syme fumait, songeur, regardant Gregory avec interet.
","Syme smoked thoughtfully, and looked at him with interest. ",['Symer'],"[(None, None, None)]"
pdnc,qID,Q74-2,you,30817,30820,9,122,2,M_404,"'""The history of the thing might amuse you,"" he said. ""When first I became one of the New Anarchists I tried all kinds of respectable disguises.""'","'Ecoutez, continua Gregory, ceci vous amusera peut-etre. Quand je devins l'un des Nouveaux Anarchistes, j'essayai toutes sortes de deguisements respectables.'",303,aligned,31740,31896,30780,30922,"Ecoutez, continua Gregory, ceci vous amusera peut-etre. Quand je devins l'un des Nouveaux Anarchistes, j'essayai toutes sortes de deguisements respectables. ","The history of the thing might amuse you,"" he said. ""When first I
became one of the New Anarchists I tried all kinds of respectable
disguises. ","['tu', 'vous']","[('vous', 31772, 31776)]"
pdnc,qID,Q74-3,you,31767,31770,9,122,2,M_405,"Now I am a humanitarian myself, but I have, I hope, enough intellectual breadth to understand the position of those who, like Nietzsche, admire violence the proud, mad war of Nature and all that, you know.","Tout humanitaire que je sois pour mon compte, j'ai assez de largeur d'esprit pour comprendre Nietzsche et les autres qui admirent la violence, la folle et dure concurrence vitale, etc.",319,aligned,32638,32822,31571,31776,"Tout humanitaire que je sois pour mon compte, j'ai assez de largeur d'esprit pour comprendre Nietzsche et les autres qui admirent la violence, la folle et dure concurrence vitale, etc. ","Now I am a
humanitarian myself, but I have, I hope, enough intellectual breadth to
understand the position of those who, like Nietzsche, admire
violence the proud, mad war of Nature and all that, you know. ","['tu', 'vous']","[(None, None, None)]"
exp,exp_name,the president,the President,32058,32071,19,122,2,M_406,"At last I went in despair to the President of the Central Anarchist Council, who is the greatest man in Europe.","En desespoir de cause, j'allai demander avis au president du Conseil Anarchiste Central. ~~~ C'est le plus grand homme d'Europe.",326,aligned,33090,33214,32029,32140,"En desespoir de cause, j'allai demander avis au president du Conseil Anarchiste Central. C'est le plus grand homme d'Europe.
","At last I went in despair to the
President of the Central Anarchist Council, who is the greatest man in
Europe.""",['le president'],"[(None, None, None)]"
exp,exp_name,syme,Syme,32169,32173,9,123,2,M_407,'asked Syme.','demanda Syme.',331,aligned,33244,33257,32163,32174,"demanda Syme.
","asked Syme.
",['Symer'],"[(None, None, None)]"
exp,exp_name,syme,Syme,32169,32173,9,123,2,M_407,asked Syme.,demanda Syme.,1428,aligned,33244,33257,32163,32174,"demanda Syme.
","asked Syme.
",['Symer'],"[(None, None, None)]"
exp,exp_name,syme,Syme,32169,32173,9,123,2,M_407,"""asked Syme.",demanda Syme.,2077,aligned,33244,33257,32163,32174,"demanda Syme.
","asked Syme.
",['Symer'],"[(None, None, None)]"
exp,exp_name,syme,Syme,32169,32173,9,123,2,M_407,asked Syme.,demanda Syme.,2828,aligned,33244,33257,32163,32174,"demanda Syme.
","asked Syme.
",['Symer'],"[(None, None, None)]"
pdnc,qID,Q76-0,You,32177,32180,9,124,2,M_408,"'""You would not know it,"" answered Gregory.'","'-- Si je vous disais son nom, vous ne le connaitriez pas.'",333,aligned,33259,33316,32177,32218,"-- Si je vous disais son nom, vous ne le connaitriez pas. ","You would not know it,"" answered Gregory. ",['Toi'],"[(None, None, None)]"
exp,exp_name,gregory,Gregory,32210,32217,13,124,2,M_409,"'""You would not know it,"" answered Gregory.'","'-- Si je vous disais son nom, vous ne le connaitriez pas.'",333,aligned,33259,33316,32177,32218,"-- Si je vous disais son nom, vous ne le connaitriez pas. ","You would not know it,"" answered Gregory. ",['Gregoire'],"[(None, None, None)]"
booknlp,COREF,112,you,32407,32410,13,124,2,M_410,"But you cannot be for five minutes in the room with him without feeling that Caesar and Napoleon would have been children in his hands.""",Mais il est impossible d'etre pendant cinq minutes en sa presence sans avoir l'impression que Cesar et Napoleon auraient ete des enfants entre ses mains. ~~~ Gregory se tut brusquement.,335,aligned,33526,33708,32403,32538,"Mais il est impossible d'etre pendant cinq minutes en sa presence sans avoir l'impression que Cesar et Napoleon auraient ete des enfants entre ses mains.

Gregory se tut brusquement. ","But you cannot be for five minutes in the room with
him without feeling that Caesar and Napoleon would have been children
in his hands.""","['tu', 'vous']","[(None, None, None)]"
exp,exp_name,syme,Syme,33457,33461,9,127,2,M_411,"Syme sat watching him with some respect in his large, blue eyes.","De ses grands yeux bleus, Syme considerait Gregory avec un certain respect.",347,aligned,34837,34912,33457,33521,"De ses grands yeux bleus, Syme considerait Gregory avec un certain respect.
","Syme sat watching him with some respect in his large, blue eyes.
",['Symer'],"[(None, None, None)]"
pdnc,qID,Q78-0,You,33524,33527,13,128,2,M_412,"""You took me in,"" he said.","""-- Je m'y suis laisse prendre, dit-il.",348,aligned,34914,34952,33524,33549,"-- Je m'y suis laisse prendre, dit-il. ","You took me in,"" he said. ",['Toi'],"[(None, None, None)]"
pdnc,qID,Q79-0,you,33620,33623,13,130,2,M_413,"""What do you call this tremendous President of yours?""",Et apres un silence il ajouta : << Comment appelez-vous ce terrible president ? >>,350,aligned,34971,35050,33612,33664,Et apres un silence il ajouta : << Comment appelez-vous ce terrible president ? ,"What do you call this tremendous President of yours?""","['tu', 'vous']","[('vous', 35022, 35026)]"
booknlp,COREF,93,yours,33658,33663,9,130,2,M_414,"""What do you call this tremendous President of yours?""",Et apres un silence il ajouta : << Comment appelez-vous ce terrible president ? >>,350,aligned,34971,35050,33612,33664,Et apres un silence il ajouta : << Comment appelez-vous ce terrible president ? ,"What do you call this tremendous President of yours?""","['le tien', 'la tienne', 'les tiens', 'les tiennes', 'le vôtre', 'la vôtre', 'les vôtres']","[(None, None, None)]"
pdnc,qID,Q80-0,We,33668,33670,13,131,2,M_415,"""We generally call him Sunday,"" replied Gregory with simplicity.","-- Nous l'appelons Dimanche, repondit Gregory avec simplicite.",351,aligned,35055,35117,33668,33731,"-- Nous l'appelons Dimanche, repondit Gregory avec simplicite. ","We generally call him Sunday,"" replied Gregory with simplicity. ",['Nous'],"[('Nous', 35058, 35062)]"
exp,exp_name,sunday,Sunday,33690,33696,19,131,2,M_416,"""We generally call him Sunday,"" replied Gregory with simplicity.","-- Nous l'appelons Dimanche, repondit Gregory avec simplicite.",351,aligned,35055,35117,33668,33731,"-- Nous l'appelons Dimanche, repondit Gregory avec simplicite. ","We generally call him Sunday,"" replied Gregory with simplicity. ",['Dimanche'],"[('Dimanche', 35074, 35082)]"
exp,exp_name,gregory,Gregory,33707,33714,13,131,2,M_417,"""We generally call him Sunday,"" replied Gregory with simplicity.","-- Nous l'appelons Dimanche, repondit Gregory avec simplicite.",351,aligned,35055,35117,33668,33731,"-- Nous l'appelons Dimanche, repondit Gregory avec simplicite. ","We generally call him Sunday,"" replied Gregory with simplicity. ",['Gregoire'],"[(None, None, None)]"
pdnc,qID,Q80-1,You,33733,33736,9,131,2,M_418,"""You see, there are seven members of the Central Anarchist Council, and they are named after days of the week.""","Le Conseil Anarchiste Central se compose de sept membres, qui portent les noms des sept jours de la semaine.",352,aligned,35118,35226,33733,33842,"Le Conseil Anarchiste Central se compose de sept membres, qui portent les noms des sept jours de la semaine. ","You
see, there are seven members of the Central Anarchist Council, and they
are named after days of the week. ",['Toi'],"[(None, None, None)]"
