eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"""Mind, I don't say that there was anything unfair, but so it was.""","""Je ne veux pas toutefois en conclure que ces derniers corrigeaient le hasard, toujours est-il que cela se passait ainsi.""",2360,aligned,251141,251261,-1,-1,"Je ne veux pas toutefois en conclure que ces derniers corrigeaient le hasard, toujours est-il que cela se passait ainsi. ",
"""I know where half a million worth lies, and, as I cannot use it myself, I thought perhaps the best thing that I could do would be to hand it over to the proper authorities, and then perhaps they would get my sentence shortened for me.""",(No direct equivalent in text),2375,not aligned,-1,-1,214888,215122,,"I know where half a million worth lies, and, as I cannot use it myself, I thought perhaps the best thing that I could do would be to hand it over to the proper authorities, and then perhaps they would get my sentence shortened for me. "
That is not very tempting.,(No direct equivalent in text),2395,not aligned,-1,-1,217418,217444,,That is not very tempting. 
"I'd have come through and taken my chance with the three of them, only even as I looked at him his jaw dropped, and I knew that he was gone.","J'allais me precipiter dans la chambre, pret a lutter contre ces trois hommes, lorsque je vis tout a coup sa figure se contracter et je compris qu'il etait mort.",2484,aligned,266102,266263,-1,-1,"J'allais me precipiter dans la chambre, pret a lutter contre ces trois hommes, lorsque je vis tout a coup sa figure se contracter et je compris qu'il etait mort. ",
"I made friends with someone who could help me, I name no names, for I don't want to get any one else in a hole,","Je me liai avec quelqu'un qui pouvait m'etre utile. ~~~ Je ne nomme personne, ne voulant pas mettre un autre dans l'embarras a cause de moi.",2488,aligned,265354,265490,-1,-1,"Je me liai avec quelqu'un qui pouvait m'etre utile. Je ne nomme personne, ne voulant pas mettre un autre dans l'embarras a cause de moi. ",
"I learned, however, about a trap-door in the roof, and also about Mr. Sholto's supper-hour.",On m'informa cependant qu'une trappe s'ouvrait sur le toit et on m'indiqua l'heure a laquelle M. Sholto descendait diner.,2502,aligned,267884,268005,-1,-1,On m'informa cependant qu'une trappe s'ouvrait sur le toit et on m'indiqua l'heure a laquelle M. Sholto descendait diner. ,
"""That I did not know.""",(No direct equivalent in text),2515,not aligned,-1,-1,228306,228326,,That I did not know. 
"""Have you any reason to be dissatisfied with my choice?"" I asked.","""-- Avez-vous quelque raison pour desapprouver mon choix ? demandai-je.""",2522,aligned,-1,-1,229864,229928,,"Have you any reason to be dissatisfied with my choice?"" I asked.
"
I was a little hurt.,(No direct equivalent in text),2523,not aligned,-1,-1,229842,229862,,I was a little hurt. 
"""I am much obliged to you both for your assistance. Of course you will be wanted at the trial. Good-night to you.""","""-- Je vous remercie bien, messieurs, de votre concours ; vous aurez naturellement, a comparaitre comme temoins. En attendant, je vous souhaite le bonsoir.""",2528,aligned,-1,-1,229079,229191,,"I am much obliged to you both for your assistance. Of course you will be wanted at the trial. Good-night to you."""
"""I had not thought of that.""",(No direct equivalent in text),2532,not aligned,-1,-1,228551,228577,,"I had not thought of that."""
